County,2022,2023,2024,2025,2026,2027,2028,2029,2030
Alameda,0.088349238,9.78E-02,0.107187238,0.116606238,0.126025238,0.135444238,0.144863238,0.154282238,0.163701238
Alpine,-36.3582813,-3.64E+01,-36.3754813,-36.3840813,-36.3926813,-36.4012813,-36.4098813,-36.4184813,-36.4270813
Amador,-234.2443012,-2.34E+02,-234.4572612,-234.5637412,-234.6702212,-234.7767012,-234.8831812,-234.9896612,-235.0961412
Butte,3574.455317,3.58E+03,3578.009629,3579.786785,3581.563941,3583.341097,3585.118253,3586.895409,3588.672565
Calaveras,-59.49913118,-5.95E+01,-59.53925118,-59.55931118,-59.57937118,-59.59943118,-59.61949118,-59.63955118,-59.65961118
Colusa,-18.93419591,-1.89E+01,-18.93419591,-18.93419591,-18.93419591,-18.93419591,-18.93419591,-18.93419591,-18.93419591
Contra Costa,-18.95580327,-1.90E+01,-18.95580327,-18.95580327,-18.95580327,-18.95580327,-18.95580327,-18.95580327,-18.95580327
Del Norte,-18.95566101,-1.90E+01,-18.95566101,-18.95566101,-18.95566101,-18.95566101,-18.95566101,-18.95566101,-18.95566101
El Dorado,-18.94841808,-1.89E+01,-18.94841808,-18.94841808,-18.94841808,-18.94841808,-18.94841808,-18.94841808,-18.94841808
Fresno,-18.92944084,-1.89E+01,-18.92944084,-18.92944084,-18.92944084,-18.92944084,-18.92944084,-18.92944084,-18.92944084
Glenn,-18.92662531,-1.89E+01,-18.92662531,-18.92662531,-18.92662531,-18.92662531,-18.92662531,-18.92662531,-18.92662531
Humboldt,-18.94849378,-1.89E+01,-18.94849378,-18.94849378,-18.94849378,-18.94849378,-18.94849378,-18.94849378,-18.94849378
Imperial,-19.01118223,-1.90E+01,-19.01118223,-19.01118223,-19.01118223,-19.01118223,-19.01118223,-19.01118223,-19.01118223
Inyo,-18.8792066,-1.89E+01,-18.8792066,-18.8792066,-18.8792066,-18.8792066,-18.8792066,-18.8792066,-18.8792066
Kern,-18.92877632,-1.89E+01,-18.92877632,-18.92877632,-18.92877632,-18.92877632,-18.92877632,-18.92877632,-18.92877632
Kings,-18.93783552,-1.89E+01,-18.93783552,-18.93783552,-18.93783552,-18.93783552,-18.93783552,-18.93783552,-18.93783552
Lake,-18.93432241,-1.89E+01,-18.93432241,-18.93432241,-18.93432241,-18.93432241,-18.93432241,-18.93432241,-18.93432241
Lassen,-18.92570922,-1.89E+01,-18.92570922,-18.92570922,-18.92570922,-18.92570922,-18.92570922,-18.92570922,-18.92570922
Los Angeles,-18.95802665,-1.90E+01,-18.95802665,-18.95802665,-18.95802665,-18.95802665,-18.95802665,-18.95802665,-18.95802665
Madera,-18.92704743,-1.89E+01,-18.92704743,-18.92704743,-18.92704743,-18.92704743,-18.92704743,-18.92704743,-18.92704743
Marin,-18.95387328,-1.90E+01,-18.95387328,-18.95387328,-18.95387328,-18.95387328,-18.95387328,-18.95387328,-18.95387328
Mariposa,-18.91757919,-1.89E+01,-18.91757919,-18.91757919,-18.91757919,-18.91757919,-18.91757919,-18.91757919,-18.91757919
Mendocino,-18.93229692,-1.89E+01,-18.93229692,-18.93229692,-18.93229692,-18.93229692,-18.93229692,-18.93229692,-18.93229692
Merced,-18.93745106,-1.89E+01,-18.93745106,-18.93745106,-18.93745106,-18.93745106,-18.93745106,-18.93745106,-18.93745106
Modoc,-18.916434,-1.89E+01,-18.916434,-18.916434,-18.916434,-18.916434,-18.916434,-18.916434,-18.916434
Mono,-18.9344011,-1.89E+01,-18.9344011,-18.9344011,-18.9344011,-18.9344011,-18.9344011,-18.9344011,-18.9344011
Monterey,-18.93726254,-1.89E+01,-18.93726254,-18.93726254,-18.93726254,-18.93726254,-18.93726254,-18.93726254,-18.93726254
Napa,-18.94397888,-1.89E+01,-18.94397888,-18.94397888,-18.94397888,-18.94397888,-18.94397888,-18.94397888,-18.94397888
Nevada,-18.95177816,-1.90E+01,-18.95177816,-18.95177816,-18.95177816,-18.95177816,-18.95177816,-18.95177816,-18.95177816
Orange,-18.96301328,-1.90E+01,-18.96301328,-18.96301328,-18.96301328,-18.96301328,-18.96301328,-18.96301328,-18.96301328
Placer,-18.95651634,-1.90E+01,-18.95651634,-18.95651634,-18.95651634,-18.95651634,-18.95651634,-18.95651634,-18.95651634
Plumas,-18.93864618,-1.89E+01,-18.93864618,-18.93864618,-18.93864618,-18.93864618,-18.93864618,-18.93864618,-18.93864618
